0,1,2,3,4
GSTK1_HUMAN,373156,CYC_HUMAN,54205,0.86
PNKP_HUMAN,11284,DNLI4_HUMAN,3981,0.86
DPF3_HUMAN,8110,SMCA2_HUMAN,6595,0.88
SH3G2_HUMAN,6456,BIN1_HUMAN,274,0.86
TIMP4_HUMAN,7079,MMP2_HUMAN,4313,0.86
STK24_HUMAN,8428,PP2AA_HUMAN,5515,0.89
NP1L4_HUMAN,4676,H32_HUMAN,333932,0.87
H2AX_HUMAN,3014,MRE11_HUMAN,4361,0.88
PSMD2_HUMAN,5708,PSMD2_HUMAN,5708,0.86
PR38B_HUMAN,55119,1433G_HUMAN,7532,0.86
PSN2_HUMAN,5664,CAN1_HUMAN,823,0.88
BAP1_HUMAN,8314,FOXK2_HUMAN,3607,0.89
KPCZ_HUMAN,5590,KPCI_HUMAN,5584,0.89
CCNC_HUMAN,892,CDK3_HUMAN,1018,0.89
CD151_HUMAN,977,ITA3_HUMAN,3675,0.89
TRPC4_HUMAN,7223,ITPR3_HUMAN,3710,0.87
SKA2_HUMAN,348235,SKA3_HUMAN,221150,0.89
SKAP1_HUMAN,8631,FYN_HUMAN,2534,0.9
H31_HUMAN,8357,RBBP4_HUMAN,5928,0.88
CCND1_HUMAN,595,BRCA1_HUMAN,672,0.89
NELFD_HUMAN,51497,NELFA_HUMAN,7469,0.9
ARRB1_HUMAN,408,ZRAB2_HUMAN,9406,0.88
UCHL5_HUMAN,51377,PRS8_HUMAN,5705,0.87
WASP_HUMAN,7454,SNX9_HUMAN,51429,0.87
ETFA_HUMAN,2108,LYRM5_HUMAN,144363,0.87
LSM3_HUMAN,27258,LSM1_HUMAN,27257,0.93
ZWINT_HUMAN,11130,CASC5_HUMAN,57082,0.89
TAF12_HUMAN,6883,TAF6_HUMAN,6878,0.96
PCNA_HUMAN,5111,ERCC5_HUMAN,2073,0.89
I10R1_HUMAN,3587,IL10_HUMAN,3586,0.9
GEMI5_HUMAN,25929,SMD1_HUMAN,6632,0.88
NU107_HUMAN,57122,NUP98_HUMAN,4928,0.94
